user_id,event_id,event_category,interaction_type,engagement_score,label
165,347,entretenimiento,save,2,1
24,87,gastronomico,uninterested,0,0
15,97,entretenimiento,view,1,1
135,270,cultural,save,2,1
145,577,deportivo,view,1,1
162,186,gastronomico,view,0,0
88,379,otro,save,2,1
45,181,entretenimiento,view,0,0
113,573,entretenimiento,save,2,1
30,319,deportivo,uninterested,0,0
27,408,cultural,save,2,1
25,372,deportivo,uninterested,0,0
116,561,gastronomico,uninterested,0,0
114,567,entretenimiento,view,1,1
63,563,otro,save,2,1
103,536,deportivo,uninterested,0,0
122,101,deportivo,uninterested,0,0
23,328,cultural,uninterested,0,0
144,500,otro,save,2,1
51,305,cultural,interested,2,1
74,436,deportivo,view,0,0
96,313,deportivo,view,1,1
143,240,cultural,save,2,1
197,438,deportivo,view,1,1
10,364,gastronomico,interested,2,1
191,555,entretenimiento,view,0,0
80,547,deportivo,view,1,1
77,582,deportivo,save,2,1
175,520,deportivo,save,2,1
45,129,otro,view,1,1
47,327,gastronomico,view,1,1
52,23,otro,uninterested,0,0
52,119,deportivo,uninterested,0,0
1,338,deportivo,uninterested,0,0
99,380,deportivo,uninterested,0,0
102,411,entretenimiento,save,2,1
171,434,otro,save,2,1
160,241,otro,interested,2,1
106,386,gastronomico,view,0,0
48,499,entretenimiento,view,0,0
2,404,deportivo,view,1,1
196,106,gastronomico,interested,2,1
29,100,gastronomico,view,1,1
83,324,gastronomico,uninterested,0,0
183,407,deportivo,view,0,0
73,54,entretenimiento,interested,2,1
101,206,entretenimiento,uninterested,0,0
142,205,gastronomico,view,1,1
9,146,gastronomico,save,2,1
99,578,cultural,view,1,1
111,448,cultural,interested,2,1
113,433,entretenimiento,uninterested,0,0
196,215,deportivo,interested,2,1
11,253,cultural,interested,2,1
64,358,deportivo,save,2,1
164,113,cultural,uninterested,0,0
129,380,deportivo,view,1,1
168,25,cultural,uninterested,0,0
17,541,entretenimiento,save,2,1
41,30,otro,view,1,1
16,447,cultural,interested,2,1
185,379,otro,view,0,0
26,6,deportivo,save,2,1
144,509,otro,save,2,1
57,36,entretenimiento,save,2,1
18,449,gastronomico,save,2,1
157,497,cultural,save,2,1
64,274,otro,save,2,1
39,285,gastronomico,view,1,1
163,397,entretenimiento,uninterested,0,0
41,508,gastronomico,interested,2,1
36,442,deportivo,interested,2,1
58,128,gastronomico,interested,2,1
90,257,deportivo,interested,2,1
117,454,deportivo,uninterested,0,0
118,471,gastronomico,view,1,1
135,519,cultural,view,1,1
49,372,deportivo,uninterested,0,0
140,418,gastronomico,view,1,1
78,283,otro,view,1,1
166,491,gastronomico,view,1,1
55,420,otro,save,2,1
132,6,deportivo,interested,2,1
98,148,otro,uninterested,0,0
174,471,gastronomico,save,2,1
50,307,entretenimiento,view,1,1
189,177,deportivo,interested,2,1
195,36,entretenimiento,interested,2,1
16,42,cultural,save,2,1
23,252,gastronomico,interested,2,1
54,261,cultural,interested,2,1
80,295,deportivo,view,1,1
44,207,gastronomico,uninterested,0,0
38,488,gastronomico,view,1,1
141,287,deportivo,interested,2,1
63,150,gastronomico,uninterested,0,0
24,138,deportivo,uninterested,0,0
121,32,gastronomico,save,2,1
92,598,gastronomico,save,2,1
114,503,otro,uninterested,0,0
145,599,entretenimiento,view,1,1
94,389,otro,save,2,1
100,113,cultural,uninterested,0,0
171,159,otro,interested,2,1
21,26,gastronomico,save,2,1
151,210,otro,interested,2,1
49,293,otro,save,2,1
42,364,gastronomico,save,2,1
110,542,cultural,uninterested,0,0
168,391,gastronomico,save,2,1
33,10,otro,interested,2,1
4,566,gastronomico,save,2,1
9,276,otro,interested,2,1
85,504,deportivo,uninterested,0,0
108,103,cultural,uninterested,0,0
184,589,gastronomico,save,2,1
21,86,deportivo,uninterested,0,0
81,116,deportivo,view,0,0
32,109,otro,view,1,1
45,367,otro,interested,2,1
199,8,otro,interested,2,1
188,72,gastronomico,view,1,1
160,471,gastronomico,save,2,1
84,108,cultural,save,2,1
14,204,cultural,uninterested,0,0
20,5,cultural,save,2,1
175,519,cultural,view,1,1
82,197,entretenimiento,view,0,0
50,507,gastronomico,save,2,1
47,453,entretenimiento,save,2,1
15,49,deportivo,view,1,1
50,234,gastronomico,interested,2,1
179,192,gastronomico,view,0,0
82,233,cultural,view,1,1
162,303,entretenimiento,save,2,1
129,223,otro,view,0,0
88,543,gastronomico,view,0,0
174,93,gastronomico,view,1,1
126,30,otro,save,2,1
110,269,otro,view,1,1
190,326,deportivo,view,0,0
92,67,gastronomico,save,2,1
186,461,gastronomico,view,0,0
122,546,cultural,save,2,1
139,194,entretenimiento,view,0,0
43,256,deportivo,save,2,1
118,559,gastronomico,interested,2,1
118,540,cultural,interested,2,1
107,142,deportivo,uninterested,0,0
97,152,entretenimiento,view,0,0
3,225,gastronomico,view,1,1
47,247,deportivo,save,2,1
69,344,entretenimiento,save,2,1
77,562,cultural,view,0,0
48,318,cultural,save,2,1
40,403,gastronomico,uninterested,0,0
17,488,gastronomico,save,2,1
36,469,deportivo,save,2,1
125,448,cultural,view,1,1
161,249,otro,save,2,1
153,208,entretenimiento,interested,2,1
176,378,cultural,save,2,1
121,211,otro,save,2,1
53,239,gastronomico,uninterested,0,0
80,487,deportivo,interested,2,1
142,238,gastronomico,uninterested,0,0
82,586,entretenimiento,uninterested,0,0
58,242,cultural,uninterested,0,0
63,20,cultural,view,1,1
24,376,gastronomico,view,1,1
125,48,cultural,save,2,1
199,443,otro,view,1,1
199,130,otro,interested,2,1
83,579,gastronomico,save,2,1
69,496,otro,uninterested,0,0
154,204,cultural,uninterested,0,0
165,414,entretenimiento,view,1,1
187,334,otro,interested,2,1
72,268,deportivo,interested,2,1
2,81,otro,save,2,1
7,431,gastronomico,view,0,0
119,151,otro,view,0,0
97,459,deportivo,save,2,1
70,441,otro,interested,2,1
72,250,cultural,uninterested,0,0
31,378,cultural,save,2,1
36,337,deportivo,view,1,1
111,405,entretenimiento,view,0,0
156,35,entretenimiento,interested,2,1
82,306,otro,view,1,1
183,508,gastronomico,view,0,0
17,357,entretenimiento,view,1,1
182,209,deportivo,view,1,1
105,594,gastronomico,save,2,1
15,466,entretenimiento,view,1,1
22,459,deportivo,view,0,0
195,267,gastronomico,view,0,0
14,571,cultural,view,0,0
164,230,cultural,save,2,1
10,205,gastronomico,uninterested,0,0
35,270,cultural,interested,2,1
171,299,otro,view,1,1
182,563,otro,view,1,1
51,176,cultural,save,2,1
1,424,gastronomico,save,2,1
42,17,gastronomico,uninterested,0,0
190,272,gastronomico,save,2,1
130,490,entretenimiento,interested,2,1
85,229,otro,view,1,1
73,414,entretenimiento,uninterested,0,0
171,126,otro,view,1,1
10,264,gastronomico,save,2,1
145,305,cultural,uninterested,0,0
172,210,otro,save,2,1
165,580,otro,uninterested,0,0
64,196,entretenimiento,view,1,1
46,211,otro,view,0,0
184,274,otro,uninterested,0,0
154,503,otro,save,2,1
152,52,cultural,interested,2,1
0,51,entretenimiento,uninterested,0,0
70,310,cultural,view,0,0
186,56,deportivo,view,1,1
55,433,entretenimiento,interested,2,1
95,32,gastronomico,view,1,1
8,309,cultural,view,0,0
116,209,deportivo,view,0,0
162,31,entretenimiento,uninterested,0,0
121,121,gastronomico,interested,2,1
116,593,entretenimiento,interested,2,1
69,35,entretenimiento,interested,2,1
39,439,gastronomico,view,1,1
127,256,deportivo,view,1,1
3,472,cultural,view,1,1
197,288,entretenimiento,interested,2,1
51,24,entretenimiento,save,2,1
48,15,gastronomico,uninterested,0,0
11,445,deportivo,view,0,0
179,519,cultural,interested,2,1
12,424,gastronomico,save,2,1
120,431,gastronomico,interested,2,1
138,256,deportivo,view,1,1
102,509,otro,view,1,1
172,506,gastronomico,save,2,1
104,63,cultural,save,2,1
35,462,cultural,save,2,1
192,40,cultural,save,2,1
160,352,otro,interested,2,1
190,563,otro,interested,2,1
177,553,entretenimiento,view,1,1
128,17,gastronomico,save,2,1
140,168,deportivo,interested,2,1
175,342,gastronomico,view,0,0
83,382,deportivo,view,0,0
101,275,gastronomico,save,2,1
191,285,gastronomico,interested,2,1
116,479,entretenimiento,view,1,1
129,507,gastronomico,view,0,0
18,313,deportivo,view,0,0
103,333,deportivo,interested,2,1
48,159,otro,view,1,1
47,73,otro,view,0,0
115,432,otro,uninterested,0,0
169,193,deportivo,view,1,1
53,570,gastronomico,save,2,1
151,12,deportivo,save,2,1
89,295,deportivo,interested,2,1
98,100,gastronomico,save,2,1
150,359,otro,uninterested,0,0
175,265,cultural,view,1,1
124,88,deportivo,view,0,0
139,445,deportivo,interested,2,1
161,465,deportivo,view,1,1
86,22,otro,view,1,1
141,462,cultural,view,0,0
105,64,gastronomico,uninterested,0,0
113,307,entretenimiento,save,2,1
144,171,entretenimiento,save,2,1
178,526,deportivo,save,2,1
41,191,deportivo,save,2,1
175,158,cultural,save,2,1
63,474,deportivo,interested,2,1
45,44,deportivo,view,0,0
57,405,entretenimiento,interested,2,1
58,118,cultural,view,0,0
35,34,gastronomico,save,2,1
93,440,otro,view,0,0
134,377,cultural,save,2,1
27,226,cultural,save,2,1
179,63,cultural,save,2,1
170,322,cultural,uninterested,0,0
35,43,entretenimiento,save,2,1
170,381,entretenimiento,view,1,1
67,111,otro,save,2,1
29,110,entretenimiento,view,1,1
34,400,cultural,view,1,1
15,74,deportivo,save,2,1
68,363,gastronomico,interested,2,1
35,545,entretenimiento,save,2,1
54,291,otro,save,2,1
25,88,deportivo,interested,2,1
130,329,entretenimiento,save,2,1
18,491,gastronomico,interested,2,1
92,268,deportivo,view,0,0
192,499,entretenimiento,view,1,1
49,382,deportivo,view,0,0
155,230,cultural,interested,2,1
32,241,otro,save,2,1
193,247,deportivo,view,0,0
73,279,entretenimiento,save,2,1
106,514,cultural,interested,2,1
37,40,cultural,view,0,0
100,162,deportivo,interested,2,1
154,583,otro,uninterested,0,0
130,321,entretenimiento,save,2,1
177,375,entretenimiento,save,2,1
161,148,otro,uninterested,0,0
73,197,entretenimiento,uninterested,0,0
82,579,gastronomico,view,0,0
78,357,entretenimiento,interested,2,1
71,407,deportivo,interested,2,1
196,142,deportivo,uninterested,0,0
176,434,otro,view,1,1
138,522,entretenimiento,save,2,1
133,423,entretenimiento,view,1,1
153,345,gastronomico,view,1,1
165,383,entretenimiento,view,1,1
123,581,gastronomico,save,2,1
87,36,entretenimiento,view,1,1
96,402,gastronomico,view,0,0
48,260,cultural,uninterested,0,0
116,563,otro,save,2,1
70,116,deportivo,view,1,1
109,501,cultural,view,0,0
121,73,otro,view,1,1
31,70,gastronomico,interested,2,1
71,222,cultural,view,1,1
24,433,entretenimiento,view,1,1
169,55,entretenimiento,save,2,1
159,291,otro,save,2,1
59,567,entretenimiento,save,2,1
60,459,deportivo,view,1,1
98,90,otro,view,1,1
189,276,otro,uninterested,0,0
31,167,cultural,view,1,1
156,564,entretenimiento,save,2,1
27,175,otro,save,2,1
153,456,cultural,view,0,0
25,418,gastronomico,interested,2,1
113,580,otro,save,2,1
97,119,deportivo,interested,2,1
125,250,cultural,view,1,1
129,452,entretenimiento,save,2,1
95,411,entretenimiento,interested,2,1
174,267,gastronomico,save,2,1
90,479,entretenimiento,save,2,1
59,586,entretenimiento,view,1,1
144,294,entretenimiento,interested,2,1
5,419,gastronomico,view,1,1
125,289,cultural,view,1,1
65,210,otro,uninterested,0,0
66,134,deportivo,interested,2,1
165,525,entretenimiento,view,1,1
9,373,gastronomico,view,1,1
58,124,gastronomico,interested,2,1
141,334,otro,uninterested,0,0
115,296,cultural,save,2,1
47,219,gastronomico,save,2,1
59,53,cultural,view,0,0
189,549,deportivo,save,2,1
42,114,gastronomico,view,1,1
25,331,deportivo,view,1,1
118,227,gastronomico,view,1,1
47,190,deportivo,interested,2,1
196,598,gastronomico,save,2,1
14,28,otro,save,2,1
33,342,gastronomico,save,2,1
116,479,entretenimiento,save,2,1
163,43,entretenimiento,view,0,0
96,287,deportivo,save,2,1
125,404,deportivo,save,2,1
185,292,deportivo,uninterested,0,0
133,490,entretenimiento,view,1,1
104,103,cultural,interested,2,1
52,574,otro,save,2,1
154,391,gastronomico,view,0,0
95,239,gastronomico,interested,2,1
55,269,otro,interested,2,1
194,309,cultural,save,2,1
36,526,deportivo,save,2,1
124,211,otro,interested,2,1
118,199,cultural,uninterested,0,0
163,302,gastronomico,save,2,1
89,555,entretenimiento,interested,2,1
110,260,cultural,interested,2,1
141,100,gastronomico,view,1,1
49,8,otro,uninterested,0,0
37,575,entretenimiento,view,0,0
6,14,entretenimiento,save,2,1
85,471,gastronomico,view,0,0
83,576,cultural,save,2,1
31,499,entretenimiento,view,0,0
131,582,deportivo,view,1,1
96,450,deportivo,interested,2,1
68,124,gastronomico,interested,2,1
70,23,otro,save,2,1
34,286,cultural,interested,2,1
38,204,cultural,uninterested,0,0
53,90,otro,interested,2,1
67,67,gastronomico,view,1,1
42,505,deportivo,view,1,1
171,387,otro,interested,2,1
95,264,gastronomico,save,2,1
140,338,deportivo,save,2,1
83,342,gastronomico,interested,2,1
199,231,otro,interested,2,1
111,351,gastronomico,save,2,1
185,52,cultural,uninterested,0,0
76,263,cultural,view,1,1
37,314,gastronomico,save,2,1
39,555,entretenimiento,save,2,1
105,429,entretenimiento,view,0,0
76,447,cultural,save,2,1
169,537,deportivo,interested,2,1
111,205,gastronomico,save,2,1
7,73,otro,view,1,1
124,503,otro,uninterested,0,0
101,508,gastronomico,interested,2,1
73,208,entretenimiento,view,1,1
83,65,cultural,view,1,1
188,344,entretenimiento,interested,2,1
178,52,cultural,view,0,0
45,574,otro,save,2,1
175,365,deportivo,interested,2,1
22,206,entretenimiento,view,1,1
149,415,entretenimiento,view,1,1
49,400,cultural,interested,2,1
125,435,cultural,interested,2,1
18,291,otro,view,0,0
118,266,otro,view,0,0
198,98,cultural,save,2,1
57,32,gastronomico,save,2,1
86,484,deportivo,interested,2,1
91,313,deportivo,view,0,0
180,428,cultural,uninterested,0,0
60,316,cultural,interested,2,1
53,441,otro,view,1,1
20,108,cultural,view,1,1
114,181,entretenimiento,interested,2,1
176,444,deportivo,save,2,1
104,514,cultural,view,1,1
121,372,deportivo,view,1,1
49,22,otro,interested,2,1
64,292,deportivo,interested,2,1
101,331,deportivo,view,0,0
83,432,otro,interested,2,1
192,5,cultural,interested,2,1
42,425,cultural,view,0,0
85,163,entretenimiento,save,2,1
126,207,gastronomico,interested,2,1
106,448,cultural,save,2,1
87,381,entretenimiento,view,1,1
26,252,gastronomico,view,1,1
85,517,entretenimiento,save,2,1
100,201,entretenimiento,view,0,0
187,465,deportivo,uninterested,0,0
151,19,deportivo,view,1,1
4,568,gastronomico,interested,2,1
106,585,entretenimiento,view,0,0
80,228,gastronomico,save,2,1
76,39,cultural,interested,2,1
171,260,cultural,view,0,0
1,275,gastronomico,uninterested,0,0
115,296,cultural,view,1,1
19,280,cultural,view,0,0
139,16,entretenimiento,view,0,0
187,313,deportivo,uninterested,0,0
169,375,entretenimiento,interested,2,1
73,240,cultural,uninterested,0,0
99,227,gastronomico,save,2,1
51,53,cultural,save,2,1
62,21,gastronomico,view,1,1
191,173,gastronomico,interested,2,1
171,249,otro,save,2,1
41,175,otro,uninterested,0,0
177,52,cultural,uninterested,0,0
31,3,otro,uninterested,0,0
16,276,otro,uninterested,0,0
29,345,gastronomico,view,1,1
196,547,deportivo,view,0,0
31,562,cultural,view,1,1
23,234,gastronomico,save,2,1
64,88,deportivo,uninterested,0,0
41,238,gastronomico,save,2,1
193,30,otro,view,1,1
99,442,deportivo,view,0,0
131,412,otro,view,1,1
48,495,entretenimiento,uninterested,0,0
191,232,gastronomico,interested,2,1
199,223,otro,save,2,1
94,22,otro,save,2,1
0,427,otro,uninterested,0,0
166,17,gastronomico,uninterested,0,0
118,425,cultural,save,2,1
196,568,gastronomico,save,2,1
141,348,gastronomico,view,1,1
8,324,gastronomico,save,2,1
137,300,gastronomico,view,1,1
27,407,deportivo,uninterested,0,0
35,388,entretenimiento,uninterested,0,0
71,46,deportivo,uninterested,0,0
93,540,cultural,view,1,1
5,385,gastronomico,view,1,1
23,537,deportivo,save,2,1
25,154,deportivo,interested,2,1
81,187,otro,view,0,0
149,237,cultural,view,0,0
79,563,otro,uninterested,0,0
20,562,cultural,uninterested,0,0
176,420,otro,view,1,1
103,41,entretenimiento,view,0,0
107,148,otro,interested,2,1
35,17,gastronomico,view,1,1
122,280,cultural,save,2,1
67,539,otro,view,1,1
85,536,deportivo,save,2,1
26,17,gastronomico,save,2,1
186,173,gastronomico,interested,2,1
174,17,gastronomico,interested,2,1
69,344,entretenimiento,save,2,1
15,105,entretenimiento,interested,2,1
74,592,entretenimiento,save,2,1
148,415,entretenimiento,interested,2,1
31,261,cultural,save,2,1
127,248,entretenimiento,save,2,1
191,232,gastronomico,interested,2,1
148,61,entretenimiento,interested,2,1
59,47,otro,interested,2,1
175,226,cultural,uninterested,0,0
147,146,gastronomico,interested,2,1
3,126,otro,save,2,1
37,126,otro,uninterested,0,0
83,387,otro,interested,2,1
174,198,gastronomico,save,2,1
90,336,entretenimiento,save,2,1
70,0,deportivo,save,2,1
40,548,gastronomico,save,2,1
52,81,otro,save,2,1
45,283,otro,interested,2,1
135,258,cultural,save,2,1
57,545,entretenimiento,view,1,1
122,276,otro,view,1,1
56,26,gastronomico,interested,2,1
165,378,cultural,save,2,1
37,324,gastronomico,interested,2,1
69,528,deportivo,uninterested,0,0
191,139,gastronomico,save,2,1
72,544,cultural,uninterested,0,0
142,588,entretenimiento,interested,2,1
135,508,gastronomico,uninterested,0,0
0,185,otro,interested,2,1
197,193,deportivo,view,1,1
49,523,cultural,interested,2,1
64,278,entretenimiento,save,2,1
160,60,otro,save,2,1
159,190,deportivo,view,1,1
86,331,deportivo,save,2,1
58,114,gastronomico,view,1,1
35,122,entretenimiento,save,2,1
136,74,deportivo,view,0,0
140,145,entretenimiento,interested,2,1
55,144,otro,view,1,1
150,462,cultural,save,2,1
115,95,deportivo,view,0,0
60,95,deportivo,interested,2,1
153,72,gastronomico,save,2,1
70,574,otro,save,2,1
55,338,deportivo,view,0,0
128,15,gastronomico,save,2,1
89,463,deportivo,save,2,1
42,32,gastronomico,interested,2,1
49,133,otro,interested,2,1
187,123,otro,view,1,1
117,134,deportivo,save,2,1
8,421,gastronomico,interested,2,1
194,254,otro,view,1,1
16,162,deportivo,view,0,0
1,225,gastronomico,interested,2,1
107,129,otro,view,1,1
106,510,cultural,interested,2,1
68,568,gastronomico,interested,2,1
135,599,entretenimiento,uninterested,0,0
115,305,cultural,save,2,1
156,455,entretenimiento,save,2,1
66,20,cultural,view,0,0
75,276,otro,uninterested,0,0
148,557,entretenimiento,view,1,1
